RecordingTime [ms],Point of Regard Left X [px],Point of Regard Left Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],gaze_direction,Category Left,Category Right
1.71E+12,536.0879403,1649.954397,1018.098627,1660.858687,Looking center,Unknown,Unknown
1.71E+12,456.4634747,1538.141109,993.3199638,1526.452952,Looking center,Saccade,Saccade
1.71E+12,411.6804068,1542.124699,967.8824788,1520.807408,Looking center,Saccade,Fixation
1.71E+12,357.7851675,1490.692488,967.7791571,1471.41869,Looking center,Saccade,Saccade
1.71E+12,420.112107,1498.928886,962.3552451,1486.280418,Looking center,Saccade,Fixation
1.71E+12,431.8748436,1497.17491,964.1903354,1494.84907,Looking center,Fixation,Fixation
1.71E+12,418.5385096,1521.551993,934.7536648,1514.095698,Looking center,Fixation,Saccade
1.71E+12,413.9459017,1524.610522,940.3226329,1514.487053,Looking center,Fixation,Fixation
1.71E+12,403.0031612,1533.04496,943.9809343,1534.449471,Looking center,Fixation,Fixation
1.71E+12,636,668,1039,659,Looking center,Unknown,Unknown
1.71E+12,636,668,1039,659,Looking center,Unknown,Unknown
1.71E+12,605,657,991,643,Looking center,Unknown,Unknown
1.71E+12,605,657,991,643,Looking center,Unknown,Unknown
1.71E+12,418,687,813,656,Looking center,Unknown,Unknown
1.71E+12,418,687,813,656,Looking center,Unknown,Unknown
1.71E+12,144,682,595,645,Looking center,Unknown,Unknown
1.71E+12,144,682,595,645,Looking center,Unknown,Unknown
1.71E+12,719,682,1130,678,Looking center,Unknown,Unknown
1.71E+12,719,682,1130,678,Looking center,Unknown,Unknown
1.71E+12,698,680,1086,671,Looking center,Unknown,Unknown
1.71E+12,698,680,1086,671,Looking center,Unknown,Unknown
1.71E+12,695,680,1080,671,Blinking,Unknown,Unknown
1.71E+12,691,675,1078,669,Looking center,Unknown,Unknown
1.71E+12,691,675,1078,669,Looking center,Unknown,Unknown
1.71E+12,686,679,1087,671,Looking center,Unknown,Unknown
1.71E+12,659,807,1110,801,Blinking,Unknown,Unknown
1.71E+12,649,797,1100,791,Blinking,Unknown,Unknown
1.71E+12,649,797,1100,791,Blinking,Unknown,Unknown
1.71E+12,685,779,1099,778,Blinking,Unknown,Unknown
1.71E+12,685,779,1099,778,Blinking,Unknown,Unknown
1.71E+12,701,778,1168,777,Blinking,Unknown,Unknown
1.70974E+12,784,671,1165,665,Blinking,Unknown,Unknown
1.70974E+12,770,643,1159,636,Looking center,Saccade,Saccade
1.70974E+12,757,632,1137,625,Looking center,Fixation,Fixation
1.70974E+12,764,629,1143,622,Looking center,Fixation,Fixation
1.70974E+12,758,631,1131,624,Blinking,Fixation,Fixation
1.70974E+12,691,638,1066,625,Looking center,Saccade,Saccade
1.70974E+12,744,630,1118,620,Blinking,Saccade,Saccade
1.70974E+12,739,630,1115,620,Blinking,Fixation,Fixation
1.70974E+12,739,629,1115,619,Looking center,Fixation,Fixation
1.70974E+12,725,628,1114,617,Looking center,Fixation,Fixation
1.70974E+12,736,623,1109,614,Blinking,Fixation,Fixation
1.70974E+12,732,620,1103,611,Blinking,Fixation,Fixation
1.70974E+12,710,629,1093,613,Blinking,Fixation,Fixation
1.70974E+12,724,628,1093,617,Blinking,Fixation,Fixation
1.70974E+12,728,627,1112,616,Blinking,Fixation,Fixation
1.70974E+12,745,623,1116,614,Blinking,Fixation,Fixation
1.70974E+12,684,582,946,577,Looking center,Unknown,Unknown
1.70974E+12,785,648,1036,640,Looking center,Saccade,Saccade
1.70974E+12,844,626,1106,623,Looking center,Saccade,Saccade
1.70974E+12,800,616,1075,612,Looking center,Saccade,Saccade
1.70974E+12,800,616,1075,612,Looking center,Fixation,Fixation
1.70974E+12,778,606,1043,601,Looking center,Fixation,Saccade
1.70974E+12,778,606,1043,601,Looking center,Fixation,Fixation
1.70974E+12,849,612,1114,611,Blinking,Saccade,Saccade
1.70974E+12,849,612,1114,611,Blinking,Fixation,Fixation
