left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,gaze_direction,status_L,status_R
-1,-1,-1,-1,Unknown,Unknown,Unknown
441.77279521674143,1423.090134529148,813.166810925178,1454.9838430467398,Looking left,Unknown,Unknown
387.71756672873994,1493.4955514173391,721.3061741332634,1517.0259365994236,Blinking,Saccade,Saccade
-1,-1,-1,-1,Unknown,Saccade,Saccade
357.6938065414057,1571.4168406402227,665.089995899959,1602.4583845838458,Blinking,Unknown,Unknown
379.115268127561,1551.522893283449,691.2471264367816,1591.1429744311517,Blinking,Fixation,Fixation
404.33084808946876,1541.2006834420627,712.8387968511338,1578.5705557513807,Blinking,Fixation,Fixation
415.95783926218706,1534.3921277997365,722.8823529411765,1568.0576923076924,Blinking,Fixation,Fixation
413.06332865387617,1524.2210263609422,722.852487890797,1564.9148686334947,Blinking,Fixation,Fixation
409.4024327915772,1514.3194316671777,745.8794049437186,1560.419876689858,Blinking,Fixation,Fixation
421.8629069234296,1515.2668500687757,733.893404188809,1556.9995832030843,Blinking,Fixation,Fixation
425.1696126363295,1511.3046257991725,757.0518774387514,1554.713554660014,Blinking,Fixation,Fixation
425.954530257439,1508.9037111334003,731.2866553094832,1551.1022146507667,Blinking,Fixation,Fixation
428.5440158259149,1551.610534124629,736.4683647359851,1577.5767620376832,Blinking,Saccade,Fixation
480.99555061179086,1478.865529600791,847.4446463178294,1470.26683624031,Blinking,Saccade,Saccade
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
804.2852852852852,1463.6086086086086,1184.14496880933,1498.3658462164362,Looking left,Unknown,Unknown
-1,-1,-1,-1,Unknown,Saccade,Saccade
616.7417440660474,1410.8224329205366,983.9186095478733,1439.336778836951,Looking left,Unknown,Unknown
